,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
23,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,ClassLoaderObjectInputStream,10,41,0,2,4,8,0,4,0,3
24,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,TailerListenerAdapter,6,3,0,0,6,1,6,1,6,1
25,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,ReversedLinesFileReader,12,223,0,32,4,49,2,20,2,4
26,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,BoundedInputStream,84,107,9,11,21,23,14,10,9,5
27,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,AutoCloseInputStream,0,24,0,2,0,11,0,5,0,4
28,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,ProxyReader,97,56,4,2,35,19,10,7,7,7
29,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,XmlStreamReader,106,1268,12,148,26,199,13,91,4,20
30,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,XmlStreamReaderException,0,43,0,0,0,14,0,7,0,7
31,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,ObservableInputStream,53,179,8,22,15,59,10,20,3,12
32,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,TaggedInputStream,0,24,0,0,0,7,0,4,0,4
33,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,ProxyInputStream,38,85,1,3,16,29,2,13,1,12
34,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,ReaderInputStream,38,221,7,29,6,59,9,21,2,10
35,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,Tailer,66,390,4,37,18,104,11,31,7,14
36,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,ReversedLinesFileReader.FilePart,49,285,5,39,7,58,5,22,0,5
37,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,CharSequenceInputStream,74,290,12,34,10,75,12,25,1,13
38,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,ObservableInputStream.Observer,2,7,0,0,1,5,1,5,1,5
39,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,CountingInputStream,0,84,0,6,0,20,0,10,0,7
40,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,NullInputStream,7,271,1,29,3,68,3,28,2,14
41,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,BrokenInputStream,7,21,0,0,2,8,1,6,1,6
42,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,ByteArrayOutputStream,19,496,10,36,4,119,10,31,0,18
43,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,ChunkedWriter,0,45,0,4,0,15,0,5,0,3
44,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,TaggedOutputStream,0,24,0,0,0,7,0,4,0,4
45,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,NullOutputStream,0,11,0,0,0,5,0,5,0,5
46,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,ThresholdingOutputStream,14,99,0,6,6,28,3,12,3,9
47,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,CountingOutputStream,0,72,0,4,0,17,0,8,0,6
48,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,DeferredFileOutputStream,21,169,4,14,6,47,4,17,0,12
49,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,ProxyWriter,30,161,0,6,10,60,0,17,0,14
50,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,LockableFileWriter,110,141,5,9,33,37,16,11,12,8
51,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,WriterOutputStream,37,233,2,16,9,69,5,19,3,12
52,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,CloseShieldOutputStream,0,10,0,0,0,4,0,2,0,2
53,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,AppendableOutputStream,0,16,0,0,0,6,0,3,0,3
54,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,FileWriterWithEncoding,31,174,0,12,7,54,3,23,3,17
55,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,ClosedOutputStream,0,26,0,0,0,4,0,4,0,4
56,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,StringBuilderWriter,0,79,2,4,0,25,2,13,0,12
57,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,DemuxOutputStream,20,30,5,1,8,9,5,3,2,3
58,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,BrokenOutputStream,7,15,0,0,2,6,1,4,1,4
59,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,ProxyOutputStream,17,66,0,2,5,27,0,10,0,9
60,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,XmlStreamWriter,49,166,8,16,12,44,10,13,3,8
61,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,NullWriter,4,17,0,0,2,11,2,10,2,10
62,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,TeeOutputStream,0,48,0,0,0,19,0,6,0,6
63,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.output,ChunkedOutputStream,0,45,0,4,0,15,0,5,0,3
64,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,IOCase,5,210,1,29,1,34,2,26,1,12
65,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,ThreadMonitor,0,70,1,5,0,26,1,8,0,6
66,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,FileDeleteStrategy.ForceFileDeleteStrategy,0,8,0,0,0,4,0,2,0,2
67,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,FileUtils,399,2681,65,349,65,610,65,261,4,115
68,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,FilenameUtils,21,1335,10,294,8,322,11,182,1,40
69,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,FileExistsException,15,4,0,0,4,2,2,1,2,1
70,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,ByteOrderParser,0,33,0,4,0,6,0,3,0,1
71,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,EndianUtils,0,749,0,4,0,113,0,33,0,31
72,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,FileDeleteStrategy,3,60,0,8,2,13,0,10,0,6
73,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,IOUtils,176,1634,25,201,46,392,32,212,14,117
74,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,DirectoryWalker.CancelException,0,22,0,0,0,8,0,4,0,4
75,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,ByteOrderMark,0,295,0,24,0,47,0,21,0,9
76,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,IOExceptionWithCause,4,5,0,0,2,2,1,1,1,1
77,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,FileCleaningTracker,3,117,1,9,1,30,2,12,1,8
78,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,CopyUtils,31,135,0,4,9,40,2,13,2,11
79,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,FileSystemUtils,136,609,35,66,32,143,24,42,2,12
80,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,FileCleaningTracker.Tracker,0,27,0,2,0,6,0,4,0,3
81,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,LineIterator,5,111,1,17,1,41,1,16,0,8
82,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,DirectoryWalker,1,220,0,26,1,58,1,28,1,15
83,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,TaggedIOException,3,37,1,7,1,10,2,7,1,4
84,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,HexDump,3,293,0,24,2,47,1,16,1,4
85,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,FileCleaner,31,7,0,0,12,2,7,2,7,2
86,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,FileCleaningTracker.Reaper,0,50,0,6,0,13,0,5,0,2
87,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io,Charsets,3,70,0,4,1,16,1,6,1,4
88,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,AndFileFilter,11,167,2,24,3,43,3,20,1,9
89,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,EmptyFileFilter,0,37,1,7,0,8,1,6,0,3
90,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,WildcardFilter,4,122,2,18,2,26,2,13,0,5
91,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,NameFileFilter,1,196,2,24,0,44,2,20,0,9
92,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,AbstractFileFilter,0,22,0,0,0,4,0,4,0,4
93,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,DirectoryFileFilter,0,13,0,0,0,5,0,3,0,3
94,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,MagicNumberFileFilter,1,168,2,18,1,41,2,14,0,6
95,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,FileFileFilter,0,11,0,0,0,4,0,3,0,3
96,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,FileFilterUtils,17,414,1,33,3,83,3,58,2,42
97,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,SizeFileFilter,0,68,0,10,0,12,0,9,0,4
98,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,TrueFileFilter,0,14,0,0,0,6,0,4,0,4
99,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,CanWriteFileFilter,0,16,0,0,0,5,0,3,0,3
100,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,CanReadFileFilter,0,22,0,0,0,7,0,3,0,3
101,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,AgeFileFilter,0,76,0,6,0,18,0,11,0,8
102,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,NotFileFilter,0,48,0,6,0,8,0,7,0,4
103,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,PrefixFileFilter,6,191,4,22,0,44,4,18,0,9
104,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,OrFileFilter,2,164,3,19,0,42,3,18,0,10
105,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,SuffixFileFilter,6,191,4,22,0,44,4,18,0,9
106,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,HiddenFileFilter,0,16,0,0,0,5,0,3,0,3
107,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,FalseFileFilter,0,14,0,0,0,6,0,4,0,4
108,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,WildcardFileFilter,2,195,2,24,0,44,2,20,0,9
109,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,RegexFileFilter,0,72,2,10,0,24,2,9,0,5
110,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.filefilter,DelegateFileFilter,5,78,1,9,1,19,1,9,0,5
111,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.comparator,DirectoryFileComparator,0,28,0,2,0,7,0,5,0,4
112,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.comparator,NameFileComparator,0,69,0,2,0,14,0,6,0,5
113,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.comparator,SizeFileComparator,0,105,2,14,0,27,2,11,0,5
114,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.comparator,PathFileComparator,0,69,0,2,0,14,0,6,0,5
115,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.comparator,CompositeFileComparator,0,133,0,14,0,32,0,12,0,5
116,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.comparator,AbstractFileComparator,0,21,0,4,0,8,0,6,0,4
117,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.comparator,ExtensionFileComparator,0,75,0,2,0,18,0,6,0,5
118,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.comparator,ReverseComparator,5,30,1,1,1,6,1,3,0,3
119,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.comparator,DefaultFileComparator,0,17,0,0,0,4,0,3,0,3
120,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.comparator,LastModifiedFileComparator,0,33,0,4,0,9,0,5,0,3
121,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.monitor,AbstractMonitorTestCase,22,297,0,4,2,44,0,8,0,6
122,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.monitor,FileAlterationObserverTestCase,0,1223,0,0,0,243,0,9,0,9
123,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.monitor,CollectionFileListener,0,116,0,2,0,38,0,17,0,16
124,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.monitor,FileAlterationMonitorTestCase,24,269,1,3,6,67,1,7,0,6
125,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.serialization,FullClassNameMatcherTest,0,45,0,0,0,9,0,4,0,4
126,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.serialization,ValidatingObjectInputStreamTest,22,403,0,0,10,81,0,22,0,22
127,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.serialization,ValidatingObjectInputStreamTest.new ClassNameMatcher() {...},0,5,0,0,0,3,0,2,0,2
128,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.serialization,ClosingBase,5,31,0,2,2,8,1,4,1,3
129,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.serialization,MockSerializedClass,6,16,1,1,2,5,2,2,1,2
130,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.serialization,MoreComplexObjectTest,0,155,0,0,0,30,0,6,0,6
131,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.serialization,WildcardClassNameMatcherTest,0,49,0,0,0,14,0,4,0,4
132,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.serialization,RegexpClassNameMatcherTest,8,50,0,0,4,14,2,4,2,4
133,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.serialization,MoreComplexObject,0,91,0,2,0,12,0,3,0,2
134,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.input,ClassLoaderObjectInputStreamTest,0,321,0,0,0,86,0,8,0,8
135,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.input,CharSequenceReaderTest,0,394,0,4,0,71,0,13,0,11
136,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.input,AutoCloseInputStreamTest.new ByteArrayInputStream() {...},0,12,0,0,0,4,0,2,0,2
137,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.input,CloseShieldInputStreamTest.new ByteArrayInputStream() {...},5,7,0,0,2,2,1,1,1,1
138,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.input,ClassLoaderObjectInputStreamTest.E,0,34,0,0,0,1,0,1,0,1
139,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.input,NullReaderTest.TestNullReader,0,39,0,2,0,9,0,5,0,4
140,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.input,ClosedInputStreamTest,0,16,0,0,0,5,0,2,0,2
141,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.input,BoundedInputStreamTest,0,275,0,8,0,33,0,8,0,4
142,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.input,ReversedLinesFileReaderTestSimple,16,59,0,0,4,13,0,5,0,5
143,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.input,XmlStreamReaderUtilitiesTest.MockXmlStreamReader,0,11,0,0,0,2,0,1,0,1
144,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.input,NullInputStreamTest,71,404,0,14,16,87,0,14,0,7
145,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/test/java",org.apache.commons.io.input,ClassLoaderObjectInputStreamTest.Test,9,51,4,6,2,13,5,4,1,3
