,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
20,20,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_50,DMO_EN_FLAT_25,DMO_EN_FLAT_25,PARENT_305_1,EA305,capex_med,20,0.06
21,21,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_50,DMO_EN_TOU_25,DMO_EN_TOU_25,PARENT_305_1,EA305,capex_med,20,0.06
22,22,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_50,DMO_EN_STC_25,DMO_EN_STC_25,PARENT_305_1,EA305,capex_med,20,0.06
23,23,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,TIDNULL,TIDNULL,PARENT_305_1,EA305,capex_med,20,0.06
24,24,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_FLAT_20,DMO_EN_FLAT_20,PARENT_305_1,EA305,capex_med,20,0.06
25,25,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_TOU_20,DMO_EN_TOU_20,PARENT_305_1,EA305,capex_med,20,0.06
26,26,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_STC_20,DMO_EN_STC_20,PARENT_305_1,EA305,capex_med,20,0.06
27,27,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_FLAT_25,DMO_EN_FLAT_25,PARENT_305_1,EA305,capex_med,20,0.06
28,28,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_TOU_25,DMO_EN_TOU_25,PARENT_305_1,EA305,capex_med,20,0.06
29,29,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_STC_25,DMO_EN_STC_25,PARENT_305_1,EA305,capex_med,20,0.06
30,30,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_50,TIDNULL,TIDNULL,PARENT_305_1,EA305,capex_high,20,0.06
31,31,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_50,DMO_EN_FLAT_20,DMO_EN_FLAT_20,PARENT_305_1,EA305,capex_high,20,0.06
32,32,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_50,DMO_EN_TOU_20,DMO_EN_TOU_20,PARENT_305_1,EA305,capex_high,20,0.06
33,33,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_50,DMO_EN_STC_20,DMO_EN_STC_20,PARENT_305_1,EA305,capex_high,20,0.06
34,34,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_50,DMO_EN_FLAT_25,DMO_EN_FLAT_25,PARENT_305_1,EA305,capex_high,20,0.06
35,35,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_50,DMO_EN_TOU_25,DMO_EN_TOU_25,PARENT_305_1,EA305,capex_high,20,0.06
36,36,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_50,DMO_EN_STC_25,DMO_EN_STC_25,PARENT_305_1,EA305,capex_high,20,0.06
37,37,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,TIDNULL,TIDNULL,PARENT_305_1,EA305,capex_high,20,0.06
38,38,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_FLAT_20,DMO_EN_FLAT_20,PARENT_305_1,EA305,capex_high,20,0.06
39,39,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_TOU_20,DMO_EN_TOU_20,PARENT_305_1,EA305,capex_high,20,0.06
40,40,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_STC_20,DMO_EN_STC_20,PARENT_305_1,EA305,capex_high,20,0.06
41,41,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_FLAT_25,DMO_EN_FLAT_25,PARENT_305_1,EA305,capex_high,20,0.06
42,42,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_TOU_25,DMO_EN_TOU_25,PARENT_305_1,EA305,capex_high,20,0.06
43,43,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_STC_25,DMO_EN_STC_25,PARENT_305_1,EA305,capex_high,20,0.06
