,col0,col1,col2
76,1uap|11499|Sankarea|5|12|2|Low,,
77,1uap|21033|Seikoku,no,Dragonar|5|12|2|Low
78,1uap|8675|Seitokai,Yakuindomo|7|13|2|Low,
79,1uap|20847|Seitokai,Yakuindomo*|6|13|2|Low,
80,1uap|355|Shakugan,no,Shana|8|24|2|Low
81,1uap|7724|Shiki|6|22|2|Low,,
82,1uap|79|Shuffle!|4|24|2|Low,,
83,1uap|5958|Sora,no,Otoshimono|8|13|2|Low
84,1uap|3588|Soul,Eater|7|51|2|Low,
85,1uap|9253|Steins;Gate|8|24|2|Low,,
86,1uap|11757|Sword,Art,Online|6|25|2|Low
87,1uap|22319|Tokyo,Ghoul|6|12|2|Low,
88,1uap|27899|Tokyo,Ghoul,√A|5|12|2|Low
89,1uap|523|Tonari,no,Totoro|7|1|2|Low
90,1uap|4224|Toradora!|8|25|2|Low,,
91,1uap|6|Trigun|7|26|2|Low,,
92,1uap|4106|Trigun:,Badlands,Rumble|8|1|2|Low
93,1uap|25157|Trinity,Seven|5|12|2|Low,
94,1uap|10162|Usagi,Drop|9|11|2|Low,
95,1uap|1195|Zero,no,Tsukaima|8|13|2|Low
96,1uap|14075|Zetsuen,no,Tempest|8|24|2|Low
97,1uap|269|Bleach|8|310|3|Low,,
98,1uap|6702|Fairy,Tail|7|124|3|Low,
99,1uap|21|One,Piece|8|631|3|Low,
100,1uap|10119|Seitokai,Yakuindomo,OVA|6|8|3|Low
101,1uap|19429|Akuma,no,Riddle|5|2|4|Low
102,1uap|15809|Hataraku,Maou-sama!|4|7|4|Low,
103,1uap|17265|Log,Horizon|5|12|4|Low,
104,1uap|50|Aa!,Megami-sama!,(TV)|0|0|6|Low
105,1uap|25397|Absolute,Duo|0|0|6|Low,
106,1uap|11759|Accel,World|0|0|6|Low,
107,1uap|12291|Acchi,Kocchi,(TV)|0|0|6|Low
108,1uap|53|Ai,Yori,Aoshi|0|0|6|Low
109,1uap|32323|Aishen,Qiaokeli-ing...|0|0|6|Low,
110,1uap|30123|Akagami,no,Shirayuki-hime|0|0|6|Low
111,1uap|22199|Akame,ga,Kill!|0|0|6|Low
112,1uap|22729|Aldnoah.Zero|0|0|6|Low,,
113,1uap|886|Amaenaide,yo!!,Katsu!!|0|0|6|Low
114,1uap|8676|Amagami,SS|0|0|6|Low,
115,1uap|22147|Amagi,Brilliant,Park|0|0|6|Low
116,1uap|31771|Amanchu!|0|0|6|Low,,
117,1uap|24833|Ansatsu,Kyoushitsu|0|0|6|Low,
118,1uap|9736|Astarotte,no,Omocha!|0|0|6|Low
119,1uap|28805|Bakemono,no,Ko|0|0|6|Low
120,1uap|30795|Bakuon!!|0|0|6|Low,,
121,1uap|109|Bakuretsu,Tenshi|0|0|6|Low,
122,1uap|32379|Berserk|0|0|6|Low,,
123,1uap|31904|Big,Order,(TV)|0|0|6|Low
124,1uap|13535|Binbougami,ga!|0|0|6|Low,
125,1uap|22547|Blade,&,Soul|0|0|6|Low
126,1uap|11633|Blood,Lad|0|0|6|Low,
127,1uap|4177|Bounen,no,Xamdou|0|0|6|Low
128,1uap|11241|Brave,10|0|0|6|Low,
129,1uap|31478|Bungou,Stray,Dogs|0|0|6|Low
130,1uap|33475|Busou,Shoujo,Machiavellianism|0|0|6|Low
131,1uap|1689|Byousoku,5,Centimeter|0|0|6|Low
132,1uap|5356|Canaan|0|0|6|Low,,
133,1uap|21677|Captain,Earth|0|0|6|Low,
134,1uap|17269|Captain,Herlock|0|0|6|Low,
135,1uap|10012|Carnival,Phantasm|0|0|6|Low,
136,1uap|10578|C³|0|0|6|Low,,
137,1uap|3087|Cencoroll|0|0|6|Low,,
138,1uap|28999|Charlotte|0|0|6|Low,,
139,1uap|4975|ChäoS;HEAd|0|0|6|Low,,
140,1uap|1219|Chocotto,Sister|0|0|6|Low,
141,1uap|2167|Clannad|0|0|6|Low,,
142,1uap|30383|Classroom☆Crisis|0|0|6|Low,,
143,1uap|31318|Comet,Lucifer|0|0|6|Low,
144,1uap|9479|Coppelion|0|0|6|Low,,
145,1uap|15109|Cuticle,Tantei,Inaba|0|0|6|Low
146,1uap|20031|D-Frag!|0|0|6|Low,,
147,1uap|1482|D.Gray-man|0|0|6|Low,,
148,1uap|31636|Dagashi,Kashi|0|0|6|Low,
149,1uap|17827|Daitoshokan,no,Hitsujikai|0|0|6|Low
150,1uap|8915|Dantalian,no,Shoka|0|0|6|Low
151,1uap|15583|Date,A,Live|0|0|6|Low
152,1uap|63|DearS|0|0|6|Low,,
153,1uap|28223|Death,Parade|0|0|6|Low,
154,1uap|31163|Dimension,W|0|0|6|Low,
155,1uap|10155|Dog,Days|0|0|6|Low,
156,1uap|9493|Dororon,Enma-kun,Meeramera|0|0|6|Low
157,1uap|6746|Durarara!!|0|0|6|Low,,
158,1uap|32901|Eromanga-sensei|0|0|6|Low,,
159,1uap|3167|Eve,no,Jikan|0|0|6|Low
160,1uap|22043|Fairy,Tail,(2014)|0|0|6|Low
161,1uap|10087|Fate/Zero|0|0|6|Low,,
162,1uap|9314|Fractale|0|0|6|Low,,
163,1uap|21821|Fuuun,Ishin,Dai☆Shogun|0|0|6|Low
164,1uap|24765|Gakkougurashi!|0|0|6|Low,,
165,1uap|30544|Gakusen,Toshi,Asterisk|0|0|6|Low
166,1uap|18229|Gatchaman,Crowds|0|0|6|Low,
167,1uap|23289|Gekkan,Shoujo,Nozaki-kun|0|0|6|Low
168,1uap|240|Genshiken|0|0|6|Low,,
169,1uap|1491|Ginga,Tetsudou,999|0|0|6|Low
170,1uap|14811|GJ-bu|0|0|6|Low,,
171,1uap|27631|God,Eater|0|0|6|Low,
172,1uap|268|Golden,Boy|0|0|6|Low,
173,1uap|17895|Golden,Time|0|0|6|Low,
174,1uap|17729|Grisaia,no,Kajitsu|0|0|6|Low
175,1uap|29095|Grisaia,no,Rakuen|0|0|6|Low
176,1uap|246|Groove,Adventure,Rave|0|0|6|Low
177,1uap|411|Gun,x,Sword|0|0|6|Low
178,1uap|267|Gungrave|0|0|6|Low,,
179,1uap|1016|Gunnm|0|0|6|Low,,
180,1uap|650|Gunsmith,Cats|0|0|6|Low,
181,1uap|387|Haibane,Renmei|0|0|6|Low,
182,1uap|11785|Haiyore!,Nyaruko-san|0|0|6|Low,
183,1uap|6574|Hanamaru,Youchien|0|0|6|Low,
184,1uap|2026|Hayate,no,Gotoku!|0|0|6|Low
185,1uap|27829|Heavy,Object|0|0|6|Low,
186,1uap|11617|High,School,DxD|0|0|6|Low
187,1uap|20853|Hitsugi,no,Chaika|0|0|6|Low
188,1uap|11005|Holy,Knight|0|0|6|Low,
189,1uap|257|Ikkitousen|0|0|6|Low,,
190,1uap|940|Inukami!|0|0|6|Low,,
191,1uap|249|InuYasha|0|0|6|Low,,
192,1uap|9041|IS:,Infinite,Stratos|0|0|6|Low
193,1uap|25429|Isuca|0|0|6|Low,,
194,1uap|3731|Itazura,na,Kiss|0|0|6|Low
195,1uap|2012|Jigoku,Sensei,Nube|0|0|6|Low
196,1uap|23121|Jinsei|0|0|6|Low,,
197,1uap|28387|Joukamachi,no,Dandelion|0|0|6|Low
198,1uap|26441|Junketsu,no,Maria|0|0|6|Low
199,1uap|617|Juubee,Ninpuuchou|0|0|6|Low,
200,1uap|14467|K|0|0|6|Low,,
201,1uap|3958|Kannagi|0|0|6|Low,,
202,1uap|3503|Kanokon|0|0|6|Low,,
203,1uap|144|Kanon|0|0|6|Low,,
204,1uap|6594|Katanagatari|0|0|6|Low,,
205,1uap|1604|Katekyo,Hitman,Reborn!|0|0|6|Low
206,1uap|1691|Kaze,no,Stigma|0|0|6|Low
207,1uap|24439|Kekkai,Sensen|0|0|6|Low,
208,1uap|3464|Kemeko,Deluxe!|0|0|6|Low,
209,1uap|21809|Kenzen,Robo,Daimidaler|0|0|6|Low
210,1uap|18679|Kill,la,Kill|0|0|6|Low
211,1uap|6045|Kimi,ni,Todoke|0|0|6|Low
212,1uap|16732|Kiniro,Mosaic|0|0|6|Low,
213,1uap|31798|Kiznaiver|0|0|6|Low,,
214,1uap|4262|Koihime†Musou|0|0|6|Low,,
215,1uap|28623|Koutetsujou,no,Kabaneri|0|0|6|Low
216,1uap|9213|Kowarekake,no,Orgel|0|0|6|Low
217,1uap|3358|Kure-nai|0|0|6|Low,,
218,1uap|8078|Kure-nai,OVA|0|0|6|Low,
219,1uap|5079|Kurokami,The,Animation|0|0|6|Low
220,1uap|18153|Kyoukai,no,Kanata|0|0|6|Low
221,1uap|10456|Kyoukaisenjou,no,Horizon|0|0|6|Low
222,1uap|97|Last,Exile|0|0|6|Low,
223,1uap|13655|Little,Busters!|0|0|6|Low,
224,1uap|14349|Little,Witch,Academia|0|0|6|Low
225,1uap|16353|Love,Lab|0|0|6|Low,
226,1uap|2034|Lovely★Complex|0|0|6|Low,,
227,1uap|17247|Machine-Doll,wa,Kizutsukanai|0|0|6|Low
228,1uap|1088|Macross|0|0|6|Low,,
229,1uap|23945|Majimoji,Rurumo|0|0|6|Low,
230,1uap|14833|Maoyuu,Maou,Yuusha|0|0|6|Low
231,1uap|10721|Mawaru,Penguindrum|0|0|6|Low,
232,1uap|32438|Mayoiga|0|0|6|Low,,
233,1uap|11761|Medaka,Box|0|0|6|Low,
234,1uap|21603|Mekakucity,Actors|0|0|6|Low,
235,1uap|1462|Memories|0|0|6|Low,,
236,1uap|8424|MM!|0|0|6|Low,,
237,1uap|1174|Munto|0|0|6|Low,,
238,1uap|1696|Murder,Princess|0|0|6|Low,
239,1uap|17505|Mushibugyou|0|0|6|Low,,
240,1uap|3655|Nabari,no,Ou|0|0|6|Low
241,1uap|23755|Nanatsu,no,Taizai|0|0|6|Low
242,1uap|6030|Needless|0|0|6|Low,,
243,1uap|1546|Negima!?|0|0|6|Low,,
244,1uap|14293|Nerawareta,Gakuen|0|0|6|Low,
245,1uap|18897|Nisekoi|0|0|6|Low,,
246,1uap|27787|Nisekoi:|0|0|6|Low,,
247,1uap|10161|No.6|0|0|6|Low,,
248,1uap|17549|Non,Non,Biyori|0|0|6|Low
249,1uap|20507|Noragami|0|0|6|Low,,
250,1uap|30503|Noragami,Aragoto|0|0|6|Low,
251,1uap|7592|Nurarihyon,no,Mago|0|0|6|Low
252,1uap|32962|Occultic;Nine|0|0|6|Low,,
253,1uap|20931|Oneechan,ga,Kita|0|0|6|Low
254,1uap|7079|Ookamikakushi|0|0|6|Low,,
255,1uap|19369|Outbreak,Company|0|0|6|Low,
256,1uap|29803|Overlord|0|0|6|Low,,
257,1uap|5530|Pandora,Hearts|0|0|6|Low,
258,1uap|27775|Plastic,Memories|0|0|6|Low,
259,1uap|6201|Princess,Lover!|0|0|6|Low,
260,1uap|32360|Qualidea,Code|0|0|6|Low,
261,1uap|10611|R-15|0|0|6|Low,,
262,1uap|23309|Rail,Wars!|0|0|6|Low,
263,1uap|13391|Rakuen,Tsuihou|0|0|6|Low,
264,1uap|210|Ranma,½|0|0|6|Low,
265,1uap|25859|Re-Kan!|0|0|6|Low,,
266,1uap|710|Rec|0|0|6|Low,,
267,1uap|19799|Robot,Girls,Z|0|0|6|Low
268,1uap|13599|Robotics;Notes|0|0|6|Low,,
269,1uap|28497|Rokka,no,Yuusha|0|0|6|Low
270,1uap|22865|Rokujouma,no,Shinryakusha!?|0|0|6|Low
271,1uap|1699|Romeo,x,Juliet|0|0|6|Low
272,1uap|64|Rozen,Maiden|0|0|6|Low,
273,1uap|20709|Sabage-bu!|0|0|6|Low,,
274,1uap|10156|Sacred,Seven|0|0|6|Low,
275,1uap|12477|Sakasama,no,Patema|0|0|6|Low
276,1uap|19365|Samurai,Flamenco|0|0|6|Low,
277,1uap|2476|School,Days|0|0|6|Low,
278,1uap|24|School,Rumble|0|0|6|Low,
279,1uap|30806|Schwarzesmarken|0|0|6|Low,,
280,1uap|6974|Seikimatsu,Occult,Gakuin|0|0|6|Low
281,1uap|6500|Seikon,no,Qwaser|0|0|6|Low
282,1uap|5909|Seitokai,no,Ichizon|0|0|6|Low
283,1uap|4063|Sekirei|0|0|6|Low,,
284,1uap|22273|Selector,Infected,WIXOSS|0|0|6|Low
285,1uap|24037|Selector,Spread,WIXOSS|0|0|6|Low
286,1uap|5507|Senjou,no,Valkyria|0|0|6|Low
287,1uap|11751|Senki,Zesshou,Symphogear|0|0|6|Low
288,1uap|15119|Senran,Kagura|0|0|6|Low,
289,1uap|339|Serial,Experiments,Lain|0|0|6|Low
290,1uap|18119|Servant,x,Service|0|0|6|Low
291,1uap|2104|Seto,no,Hanayome|0|0|6|Low
292,1uap|4581|Shikabane,Hime:,Aka|0|0|6|Low
293,1uap|16498|Shingeki,no,Kyojin|0|0|6|Low
294,1uap|8557|Shinryaku!,Ika,Musume|0|0|6|Low
295,1uap|13125|Shinsekai,yori|0|0|6|Low,
296,1uap|25835|Shirobako|0|0|6|Low,,
297,1uap|19775|Sidonia,no,Kishi|0|0|6|Low
298,1uap|534|Slayers|0|0|6|Low,,
299,1uap|23209|Sora,no,Method|0|0|6|Low
300,1uap|32105|Sousei,no,Onmyouji|0|0|6|Low
301,1uap|198|Speed,Grapher|0|0|6|Low,
302,1uap|30484|Steins;Gate,0|0|23|6|Low,
303,1uap|2418|Stranger:,Mukou,Hadan|0|0|6|Low
304,1uap|18277|Strike,the,Blood|0|0|6|Low
305,1uap|3667|Strike,Witches|0|0|6|Low,
306,1uap|16524|Suisei,no,Gargantia|0|0|6|Low
307,1uap|29758|Taboo,Tattoo|0|0|6|Low,
308,1uap|30585|Taifuu,no,Noruda|0|0|6|Low
309,1uap|13333|Tari,Tari|0|0|6|Low,
310,1uap|15125|Teekyuu|0|0|6|Low,,
311,1uap|696|Tenchi,Muyou!|0|0|6|Low,
312,1uap|539|Tenchi,Muyou!,Ryououki|0|0|6|Low
313,1uap|885|Tenshi,no,Tamago|0|0|6|Low
314,1uap|22687|Terra,Formars|0|0|6|Low,
315,1uap|3974|Tetsuwan,Birdy,Decode|0|0|6|Low
316,1uap|567|The,Big,O|0|0|6|Low
317,1uap|1822|The,Hakkenden|0|0|6|Low,
318,1uap|3455|To,LOVE-Ru|0|0|6|Low,
319,1uap|13663|To,LOVE-Ru,Darkness|0|0|6|Low
320,1uap|759|Tokyo,Godfathers|0|1|6|Low,
321,1uap|16011|Tokyo,Ravens|0|0|6|Low,
322,1uap|14227|Tonari,no,Kaibutsu-kun|0|0|6|Low
323,1uap|32681|Uchuu,Patrol,Luluco|0|0|6|Low
324,1uap|10798|UN-GO|0|0|6|Low,,
325,1uap|27387|Under,the,Dog|0|0|6|Low
326,1uap|1293|Urusei,Yatsura|0|0|6|Low,
327,1uap|856|Utawarerumono|0|0|6|Low,,
328,1uap|30385|Valkyrie,Drive:,Mermaid|0|0|6|Low
329,1uap|33352|Violet,Evergarden|0|0|6|Low,
330,1uap|19151|Walkure,Romanze|0|0|6|Low,
331,1uap|4720|White,Album|0|0|6|Low,
332,1uap|18245|White,Album,2|0|0|6|Low
333,1uap|21085|Witch,Craft,Works|0|0|6|Low
334,1uap|202|Wolf's,Rain|0|0|6|Low,
335,1uap|6956|Working!!|0|0|6|Low,,
336,1uap|4591|Yoiko|0|0|6|Low,,
337,1uap|17871|Yonhyakunijuu,Renpai,Girl|0|0|6|Low
338,1uap|28155|Yoru,no,Yatterman|0|0|6|Low
339,1uap|4548|Yozakura,Quartet|0|0|6|Low,
340,1uap|9331|Yumekui,Merry|0|0|6|Low,
341,1uap|392|Yuu☆Yuu☆Hakusho|0|0|6|Low,,
342,1uap|23283|Zankyou,no,Terror|0|0|6|Low
