,col0,col1,col2,col3,col4,col5,col6
20,New York,Alfred University,ENGR 101,INTRODUCTION TO ENGINEERING,"ENGR 1300
AND ENGR 1000","ENGR PROCESSES
AND GENERAL ENGINEERING ELECTIVE","1.0
AND 1.0"
21,New York,Corning Cmty Coll,ABOD 1020,WELDING AND CUTTING,ENGR 1300,ENGR PROCESSES,1.0
22,New York,Corning Cmty Coll,TECH 1080,MANUFACTURING METHODS LAB,ENGR 1300,ENGR PROCESSES,1.0
23,New York,Dutchess Cmty Coll,ELT 122,MANUF TOOLS AND PRACTICES,ENGR 1300,ENGR PROCESSES,1.0
24,New York,Dutchess Cmty Coll,ENR 100,ENGINEERING TECH INTRO SEM,ENGR 1300,ENGR PROCESSES,1.0
25,New York,Hudson Vly Cmty Coll,ENGR 110,ENGINEERING TOOLS,"CSCI 1190
AND ENGR 1300
AND ENGR 1200","BEGINNING C PROG FOR ENG
AND ENGR PROCESSES
AND ENG GRAPHICS & CAD","1.0
AND 1.0
AND 1.0"
26,New York,Hudson Vly Cmty Coll,IDLT 110,MACHINING PROCESSES,ENGR 1300,ENGR PROCESSES,1.0
27,New York,Mohawk Valley C C,MT 114,MANUFACTURING PROCESSES,ENGR 1300,ENGR PROCESSES,1.0
28,New York,Monroe Cmty College,ENR 153,MACH DESIGN & PROTOTYPING,"ENGR 2720
AND ENGR 1300","COMPUTER AIDED MACHINING
AND ENGR PROCESSES","3.0
AND 1.0"
29,New York,New York City Tech C,MECH 1101,MFG PROCESS LAB,ENGR 1300,ENGR PROCESSES,1.0
30,New York,Onondaga Cmty Coll,MET 151,MACHINE TOOLS,ENGR 1300,ENGR PROCESSES,1.0
31,New York,Rochester Inst of Technology,0303 343,MATERIALS PROCESSING,ENGR 1300,ENGR PROCESSES,1.0
32,New York,Rochester Inst of Technology,0304 331,MECHANICS I,ENGR 1300,ENGR PROCESSES,1.0
33,New York,Rochester Inst of Technology,0304 343,MATERIALS PROCESSING,ENGR 1300,ENGR PROCESSES,1.0
34,New York,Rochester Inst of Technology,MFET 120,MANUFACTURING PROCESSES,ENGR 1300,ENGR PROCESSES,1.0
35,New York,SUNY Maritime Coll,ENGR 503,MANUFACTURING PROCESSES I,ENGR 1300,ENGR PROCESSES,1.0
36,New York,Suny Coll Tech Alfrd,"MECH 1643
AND MECH 1641","MANUFACTURING PROCESSES
AND MANUFACTURING PROC LAB",ENGR 1300,ENGR PROCESSES,1.0
37,New York,Syracuse University,MFE 331,MANUFACTURING PROCESSES,ENGR 1300,ENGR PROCESSES,1.0
38,New York,US Merch Marine Acad,EC 110,MACHINE SHOP 1,ENGR 1300,ENGR PROCESSES,1.0
39,New York,US Merch Marine Acad,EG 211,ENGINEERING SHOP 2,ENGR 1300,ENGR PROCESSES,1.0
40,New York,Ulster Co Cmty Coll,IND 141,MACHINING & PRODUCTION I,ENGR 1300,ENGR PROCESSES,1.0
41,New York,Westchester Cmty Col,MECH 289,MANUFACTURING PROCESS,ENGR 1300,ENGR PROCESSES,1.0
42,Ohio,Cleveland State Univ,IME 251,MATL PROCESS/METROLOGY LAB,ENGR 1300,ENGR PROCESSES,1.0
43,Pennsylvania,Drexel University,"TDEC 151
AND TDEC 131","FRESHMAN ENGR DESIGN II
AND ENGINEERING DESIGN LAB II",ENGR 1300,ENGR PROCESSES,1.0
44,Tennessee,Pellissippi State Comm.Coll.,MET 1020,SHOP PRACTICES,ENGR 1300,ENGR PROCESSES,1.0
45,UNITED KINGDOM,University of Bath,ME 10006,DESIGN MATERIALS & MANUF I,ENGR 1300,ENGR PROCESSES,1.0
46,Vermont,Vermont Tech College,MEC 1020,MANUFACT PROCESS,ENGR 1300,ENGR PROCESSES,1.0
47,Virginia,Virginia Tech,ISE 2214,MANFACTURING PROCESSES LAB,ENGR 1300,ENGR PROCESSES,1.0
