,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
32,ip,ib,ib,ib,ib,ib,ib,ib,ib,ib,ib,ib
33,Ip,Ib,Ib,Ib,Ib,Ib,Ib,Ib,Ib,Ib,Ib,Ib
34,up,ub,ub,ub,ub,ub,ub,ub,ub,ub,ub,ub
35,Up,Ub,Ub,Ub,Ub,Ub,Ub,Ub,Ub,Ub,Ub,Ub
36,ep,eb,eb,eb,eb,eb,eb,eb,eb,eb,eb,eb
37,op,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob
38,Ep,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb
39,Op,Ob,Ob,Ob,Ob,Ob,Ob,Ob,Ob,Ob,Ob,Ob
40,aN,aNN,aNN,aNN,aNN,aNN,aNN,aNN,aNN,aNN,aNN,aNN
41,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN
42,iN,iNN,iNN,iNN,iNN,iNN,iNN,iNN,iNN,iNN,iNN,iNN
43,IN,IN,IN,IN,IN,IN,IN,IN,IN,IN,IN,IN
44,uN,uNN,uNN,uNN,uNN,uNN,uNN,uNN,uNN,uNN,uNN,uNN
45,UN,UN,UN,UN,UN,UN,UN,UN,UN,UN,UN,UN
46,eN,eNN,eNN,eNN,eNN,eNN,eNN,eNN,eNN,eNN,eNN,eNN
47,oN,oNN,oNN,oNN,oNN,oNN,oNN,oNN,oNN,oNN,oNN,oNN
48,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
49,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON
50,an,ann,ann,ann,ann,ann,ann,ann,ann,ann,ann,ann
51,An,An,An,An,An,An,An,An,An,An,An,An
52,in,inn,inn,inn,inn,inn,inn,inn,inn,inn,inn,inn
53,In,In,In,In,In,In,In,In,In,In,In,In
54,un,unn,unn,unn,unn,unn,unn,unn,unn,unn,unn,unn
55,Un,Un,Un,Un,Un,Un,Un,Un,Un,Un,Un,Un
56,en,enn,enn,enn,enn,enn,enn,enn,enn,enn,enn,enn
57,on,onn,onn,onn,onn,onn,onn,onn,onn,onn,onn,onn
58,En,En,En,En,En,En,En,En,En,En,En,En
59,On,On,On,On,On,On,On,On,On,On,On,On
60,am,am,am,am,am,am,am,am,am,am,am,am
61,Am,Am,Am,Am,Am,Am,Am,Am,Am,Am,Am,Am
62,im,im,im,im,im,im,im,im,im,im,im,im
63,Im,Im,Im,Im,Im,Im,Im,Im,Im,Im,Im,Im
64,um,um,um,um,um,um,um,um,um,um,um,um
65,Um,Um,Um,Um,Um,Um,Um,Um,Um,Um,Um,Um
66,em,em,em,em,em,em,em,em,em,em,em,em
67,om,om,om,om,om,om,om,om,om,om,om,om
68,Em,Em,Em,Em,Em,Em,Em,Em,Em,Em,Em,Em
69,Om,Om,Om,Om,Om,Om,Om,Om,Om,Om,Om,Om
