,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
173,,,,lord,,,,,,,,,x,,
174,,,,dictator,,,,,,,,,x,,
175,,,,rider,,,,,,,,,x,,
176,cocksplurt,,,,,x,,,,,,,x,,
177,dog,,,,,,,,,,,,x,,1.0
178,piss,pissing,pissed,,,x,,,,,,x,x,,
179,pipe,,,,,,,,,,,,x,,
180,,failing,failed,,,,,,,,,,,,
181,,extracting,extracted,extractor,,,,,,,,,x,,
182,fan,,,,,,,,,,,,x,,
183,diarrhea,,,,,x,,,,,,,x,,
184,waffle,,,,,,,,,,,,x,,
185,biscuit,,,,,,,,,,,,x,,
186,,,undead,,,,,,,,,,,,
187,,detecting,detected,detector,,,,,,,,,x,,
188,colon,,,,,,,,,,,,x,,
189,,,,boy,,,,,,,,,x,,
190,,,fetid,,,,,,,,,,,,
191,,rotting,,rotter,,,,,,,,,x,,
192,rage,raging,,,,,,,,,,,,,1.0
193,,encumbering,encumbered,,,,,,,,,,,,
194,,,engorged,,,,,,,,,,,,
195,tea-bag,tea-bagging,tea-bagged,,,,,,,,,,,,
196,,,,hitler,,x,,,,,,,x,,
197,,,naked,,,,,,,,,,,,
198,,,,zombie,,,,,,,,,x,,
199,,,bald,,,,,,,,,,,,
200,poop,pooing,pooped,,,x,,,,,,x,x,,1.0
201,knob,,,,,x,,,,,,x,x,,1.0
202,,infecting,infected,,,,,,,,,,,,
203,,rupturing,ruptured,,,,,,,,,,,,
204,,banging,banged,,,,,,,,,,,,
205,,scraping,scraped,,,,,,,,,,,,
206,,,epileptic,,,,,,,,,,,,
207,,,contagious,,,,,,,,,,,,
208,,,infectious,,,,,,,,,,,,
209,,,gutted,,,,,,,,,,,,
210,nipple,,,,,x,,,,,,x,x,,6.0
211,anus,,,,,x,,,,,,x,x,,
212,,beating,beaten,,,,,,,,,,,,
213,,,,king,,,,,,,,,x,,
214,,,,princess,,,,,,,,,x,,
215,,,,queen,,,,,,,,,x,,
216,,,,prince,,,,,,,,,x,,
217,mudhatch,,,,,true,,,,,,,x,,
218,,,,racist,,,,,,,,,x,,
219,,,,alien,,,,,,,,,x,,
220,sample,sampling,sampled,,,,,,,,,,x,,
221,,,rectal,,,,,,,,,,,,
222,,,,trump,,,,,,,x,,x,,
223,,,,hillary,,,,,,,x,,x,,
224,,,,merkel,,,,,,,x,,x,,
225,,,,putin,,,,,,,x,,x,,
226,,,,erdogan,,,,,,,x,,x,,
227,,,bearded,,,,,,,,,,,,
228,,,indeterminable,,,,,,,,,,,,
229,ball,,,,,,,,,,,,x,,
230,smegma,,,,,,,,,,,,x,,
231,,bashing,bashed,basher,,,,,,,,,,,
232,,,personal,,,,,,,,,,,,
233,,,,milf,,x,,,,,x,,x,,
234,,plonking,plonked,plonker,,x,,,,,,,x,,
235,torch,,,,,,,,,,,,x,,
236,pile,,,,,,,,,,,,x,,
237,rant,ranting,,,,,,,,,,,,,1.0
238,flame,flaming,flamed,flamer,,,,,,,,,x,,1.0
239,,conniving,,,,,,,,,,,,,
240,,amputating,amputated,amputee,,,,,,,,,x,,
241,,,daft,,,,,,,,,,,,
242,,,unimaginable,,,,,,,,,,,,
243,,,,bandit,,,,,,,,,x,,
244,,,catholic,,,,,,,,x,,,,
245,,,evangelical,,,,,,,,x,,,,
246,,,conversative,,,,,,,,,,,,
247,,,conservative,,,,,,,,x,,,,
248,,,progressive,,,,,,,,x,,,,
249,,,funky,,,,,,,,,,,,
250,,,,mong,,x,,,,,x,,x,,
251,,,,turd,,true,,,,,,,x,,
252,,annoying,annoyed,,,,,,,,,,,,
253,,twisting,twisted,,,,,,,,,,,,
254,,,devious,,,,,,,,,,,,
255,,,maniacal,maniac,,,,,,,,,x,,
256,,,manevolent,,,,,,,,,,,,
257,,baiting,,bait,,,,,,,,,x,,
258,,,golden,,,,,,,x,,,,,
259,,,incestual,,,,,,,,,,,,
260,,,,inbreed,,true,,,,,,,x,,
261,,,,half-breed,,true,,,,,,,x,,
262,,,infested,,,,,,,,,,,,
263,,,,ginger,,,,,,,,,x,,
264,bottle,bottling,bottled,,,,,,,,,,x,,
265,fudge,fudging,fudged,,,x,,,,,,,x,,1.0
266,,,,packer,,,,,,,,,x,,
267,fool,,foolish,,,,,,,,,,x,,
268,tranny,,,,,x,,,,,,,x,,4.0
269,,blooming,bloomed,,,,x,,,,,,,,
270,,,treacherous,,,,,,,,,,,,
271,,demonizing,demonized,demon,,,,,,,,,x,,
272,,,,pig,,x,,,,,,,x,,
273,,bewitching,bewitched,witch,,,,,,,,,x,,
274,,,mystical,,,,,,,,,,,,
275,,,titless,,,x,,,,,,,,,
276,,transfixing,transfixed,,,,,,,,,,,,
277,,,,imp,,,,,,,,,x,,
278,,,,pixie,,,,,,,,,x,,
279,,,unconscionable,,,,,,,,,,,,
280,,,unfathomable,,,,,,,,,,,,
281,ram,ramming,rammed,,,,,,,,,,x,,
282,,,cannibalistic,cannibal,,,,,,,,,x,,
283,condom,,,,,x,,,,,,,x,,
284,rocket,,,,,,,,,,,,x,,
285,,kicking,kicked,,,,,,,,,,,,
286,banana,,,,,,,,,,,,x,,6.0
287,scrotum,,,,,x,,,,,,,x,,
288,,,prodigal,prodigy,,,,,,,,,x,,
289,,,hard,,,,,,,,,,,,
290,,,constipated,,,,,,,,,,,,
291,,,,fuckwit,,x,,,,,,,x,,
292,impact,,impacted,,,,,,,,,,x,,
293,sepsis,,septic,,,,,,,,,,x,,
294,cannon,,,,,,,,,,,,x,,
295,rifle,,,,,,,,,,,,x,,
296,bazooka,,,,,,,,,,,,x,,4.0
297,pistol,,,,,,,,,,,,x,,
298,grenade,,,,,,,,,,,,x,,
299,bukkake,,,,,x,,,,,,,x,,6.0
300,,,,smurf,,,,,,,,,x,,
301,lava,,,,,,,,,,,,,,4.0
302,forest,,,,,,,,,,,x,,,
303,,,horrid,,,,,,,,,,,,
304,,,wise,,,,x,,,,,,,,
305,plan,,,,,,,,,,,,,,
306,lolli,,,,,,,,,,,,x,,6.0
307,,,,sparrow,,,,,,,,,x,,
308,,,,ape,,,,,,,,,x,,
309,plug,,,,,,,,,,,,x,,1.0
310,wipe,wiping,wiped,,,,,,,,,,x,,1.0
311,clodpole,,,,,x,,,,,,,x,,
312,,,cross-eyed,,,x,,,,,,,,,
313,,,dickless,,,,,,,,,,,,
314,,,mental,,,,,,,,,,,,
315,,,insane,,,,,,,,,,,,
316,,,utter,,,,,,,,,,,,
317,,,certified,,,,,,,,,,,,
318,,,stinky,,,,,,,,,,,,
319,,,gigantic,,,,,,,,,,,,
320,,,,worm,,,,,,,,,x,,
321,,,instant,,,,,,,,,,,,
322,,,,artist,,,,,,,,,x,,
323,,,formal,,,,,,,,,,,,
324,,,holy,,,,,,,,,,,,
325,,,throbbing,,,,,,,,,,,,
326,,,,horse,,,,,,,,,x,,
327,,,,invader,,,,,,,,,x,,
328,stack,stacking,stacked,,,,,,,,,,x,,1.0
329,,,complete,,,,,,,,,,,,
330,wax,,,,,x,,,,,,,,,
331,brain,,,,,,,,,,,,x,,
332,boil,boiling,boiled,,,,,,,,,,x,,
333,,,inhuman,,,,,,,,,,,,
334,,,,whale,,,,,,,,,x,,
335,,pulsating,,,,,,,,,,,,,
336,,,,whistle,,,,,,,,,x,,
337,,overrating,overrated,,,,,,,,,,,,
338,,dangling,,,,,,,,,,,,,
339,,wielding,,,,,,,,,,,,x,
340,,,,weasel,,,,,,,,,x,,
341,,,foul,,,,,,,,,,,,
342,,,,pedophile,,x,,,,,,,x,,
343,,cunning,,,,,,,,,,,,,
344,,,cumbersome,,,,,,,,,,,,
345,,emitting,emitted,,,,,,,,,,,,
346,storm,,,,,,,,,,,,,,
347,temptation,tempting,,,,,,,,,,,x,,
348,disaster,disastrous,,,,,,,,,,,x,,
349,armaggeddon,,,,,,,,,,,,x,,
350,ragnarök,,,,,,,,,,,,x,,
351,kraut,,,,,,,x,,,,x,x,,1.0
352,nazi,,,,,x,,,,,x,x,x,,6.0
353,,,,göbbels,,x,,,,,x,,x,,
354,,,,mengele,,x,,,,,x,,x,,
355,beer,,,,,,,x,,,,,,,
356,sword,,,,,,,,,,,,,x,
357,punch,punching,punched,,,,,,,,,,,,
358,,poking,,,,,,,,,,,,,
359,trash,,,,,x,,,,,,,,,
360,,stylish,,,,,x,,,,,,,,
361,hat,,,,,,,,,,,,,,1.0
362,,,,molester,,x,,,,,,,x,,
363,,,,nerd,,,,,,,,,x,,
364,shame,shaming,shameful,,,,,,,,,,,,
365,,,,beast,,,,,,,,,x,,
366,,,,vampire,,,,,,,,,x,,
367,,,slow,,,,,,,,,,,,
368,,,fast,,,,,,,,,,,,
369,machine,,,,,,,,,,,x,x,,2.0
370,dupe,,,,,,,,,,,,x,,
371,tool,,,,,,,,,,,,x,,
372,,using,used,,,,,,,,,,,,
373,,,hungry,,,,,,,,,,,,
374,magnet,,,magneto,,,,,,,,,x,,
375,wolf,,,wolverine,,,,,,,,,x,,
376,squirrel,,,,,,,,,,,,x,,4.0
377,titan,,,,,,,,,,,,x,,
378,coloss,,colossal,,,,,,,,,,x,,
379,,,,,phant,,,,,,,,,,4.0
380,,,happy,,,,,,,,,,,,
381,,,sad,,,,,,,,,,,,
382,wine,,,,,,,x,,,,,,,
383,game,,,,,,,,,,,,,,
384,movie,,,,,,,,,,,,,,
385,,,radical,,,,,,,,,,,,
386,product,,,,,,,,,,,,x,,
387,transmission,,,,,,,,,,,,x,,
388,bishop,,,,,,,,,,x,,x,,
389,priest,,,,,,,,,,x,,x,,
390,pope,,,,,,,,,,x,,x,,
391,messiah,,,,,,,,,,x,,x,,
392,terrorist,,,,,,,,,,,,x,,
393,bee,,,,,,,,,,,,x,,
394,hornet,,,,,,,,,,,,x,,
395,wasp,,,,,,,,,,,,x,,
396,turtle,,,,,,,,,,,,x,,
397,lion,,,,,,,,,,,,x,,
398,osmosis,,,,,,,,,,,,,,
399,membrane,,,,,,,,,,,,x,,
400,smoke,,,,,,,,,,,,x,,
401,trap,,,,,,,,,,,,x,,
402,,,,khan,,,,,,,,,x,,
403,,,,napoleon,,,,,,,,,x,,
404,,,,caesar,,,,,,,,,x,,
405,,,,ghoul,,,,,,,,,x,,
406,,,,frankenstein,,,,,,,,,x,,
407,,,,einstein,,,,,,,,,x,,
408,,,,siegfried,,,,,,,,,x,,
409,,,,brunhilde,,,,,,,,,x,,
