,col0,col1,col2,col3,col4,col5,col6,col7,col8
91,83,16.4,185.98,-10.89,360,500,s ext,162.58,9.71
92,84,16.6,192.74,-14.4,432,416,s ext,170.02,7.62
93,85,16.8,197.64,-17.02,520,344,s ext,175.47,5.56
94,86,17,203.77,-20.17,536,480,s ext,182.21,6.89
95,87,17.2,207.72,-21.63,580,516,s ext,186.19,4.21
96,88,17.4,208.3,-19.75,576,524,s ext,185.45,1.97
97,89,17.6,207.09,-15.39,584,544,s ext,181.79,4.52
98,90,17.8,205.67,-10.11,588,588,e ext,177.45,5.47
99,91,18,204.44,-4.7,588,576,e ext,173.25,5.55
100,92,18.2,204.51,-0.4,472,484,e ext,170.83,4.3
101,93,18.4,203.17,2.8,416,288,e ext,167.93,3.46
102,94,18.6,200.79,8.08,400,432,e ext,163.03,5.8
103,95,18.8,198.47,14.7,496,464,e ext,157.54,7.01
104,96,19,196.36,22.92,496,448,e ext,151.57,8.49
105,97,19.2,193.79,33.63,548,444,e ext,144.31,11.02
106,98,19.4,191.13,46.91,564,424,e ext,136.51,13.54
107,99,19.6,186.95,67.05,564,528,e ext,126.03,20.57
108,100,19.8,183.93,87.16,576,508,e ext,119.31,20.34
109,101,20,182.04,106.62,600,536,e ext,116.72,19.54
110,102,20.2,182.23,127.19,560,576,e ext,119.34,20.58
111,103,20.4,184.09,143.44,644,500,e ext,125.29,16.36
112,104,20.6,186.83,162.41,696,644,e ext,134.68,19.17
113,105,20.8,192.43,181.33,640,720,e ext,148.42,19.73
114,106,21,198.58,195.64,712,672,e ext,161.24,15.57
115,107,21.2,205.13,207.38,664,648,e ext,173.32,13.45
116,108,21.4,212.28,217.98,584,632,e ext,185.32,12.78
117,109,21.6,216.29,223.2,632,584,e ext,191.65,6.59
118,110,21.8,218.11,225.39,572,588,n ext,194.42,2.85
119,111,22,215.85,223.43,616,572,n ext,191.44,2.99
120,112,22.2,210.18,219.25,596,620,n ext,184.39,7.05
121,113,22.4,206.82,217.77,540,488,n ext,180.82,3.67
122,114,22.6,199.83,214.09,516,512,n ext,173.02,7.9
123,115,22.8,191.68,209.39,584,476,n ext,163.71,9.4
124,116,23,183.98,206.09,580,412,n ext,155.62,8.38
125,117,23.2,169.82,200.24,580,552,n ext,140.99,15.32
126,118,23.4,154.73,194.96,536,428,n ext,126.22,15.99
127,119,23.6,135.27,189.19,608,560,n ext,108.42,20.3
128,120,23.8,112.37,183.5,536,632,n ext,89.71,23.59
129,121,24,97.87,181.23,640,496,n ext,80.05,14.68
130,122,24.2,78.74,180.63,628,604,n ext,72.33,19.14
131,123,24.4,61.88,180.55,720,668,n ext,69.42,16.86
132,124,24.6,47.41,181.44,704,728,north,70.84,14.49
133,125,24.8,37.05,182.15,664,648,north,73.54,10.38
134,126,25,29.29,182.55,772,716,north,76.31,7.77
135,127,25.2,24.1,182.1,752,756,north,77.79,5.21
136,128,25.4,22.4,179.87,868,748,north,76.45,2.8
137,129,25.6,20.31,177.88,788,720,north,75.58,2.89
138,130,25.8,19.78,173.64,772,728,west,72.09,4.27
139,131,26,22.1,165.37,712,700,west,63.75,8.6
140,132,26.2,24.68,155.27,784,672,west,53.83,10.42
141,133,26.4,26.32,143.9,792,672,west,43.76,11.49
142,134,26.6,28.1,129.4,808,760,west,32.56,14.61
143,135,26.8,27.47,116.82,740,692,west,26.87,12.6
144,136,27,25.37,104.66,664,676,west,26.49,12.33
145,137,27.2,22.71,96.82,640,536,w ext,29.46,8.28
146,138,27.4,21.21,92.65,640,328,w ext,31.54,4.43
147,139,27.6,19.55,90.11,556,244,w ext,33.71,3.04
148,140,27.8,18.72,87.89,512,268,w ext,35,2.37
149,141,28,19.64,86.53,468,300,w ext,34.48,1.64
150,142,28.2,18.63,77.15,572,520,w ext,39.17,9.44
151,143,28.4,16.89,65.93,552,516,w ext,46.64,11.36
152,144,28.6,15.97,54.53,564,516,w ext,54.87,11.43
153,145,28.8,14.17,43.63,580,472,w ext,64.2,11.05
154,146,29,12,32.66,580,488,w ext,74.28,11.19
155,147,29.2,10.7,25.15,520,460,w ext,81.25,7.63
156,148,29.4,8.1,16.95,508,452,w ext,89.58,8.6
157,149,29.6,7.81,13.61,632,460,w ext,92.6,3.35
158,150,29.8,8.07,10.9,568,600,w ext,94.81,2.73
159,151,30,8.04,8.88,620,484,west,96.58,2.02
160,152,30.2,9.92,8.82,596,584,south,95.71,1.89
161,153,30.4,11.53,8.06,608,644,south,95.61,1.77
162,154,30.6,16.56,10.4,652,532,south,91.23,5.55
163,155,30.8,23.92,13.41,640,580,south,85.45,7.95
164,156,31,33.89,16.51,592,616,south,79.17,10.44
165,157,31.2,39.63,17.07,588,564,south,77.17,5.77
166,158,31.4,43.3,14.66,584,556,s ext,78.81,4.39
167,159,31.6,44.98,12.39,584,448,s ext,80.79,2.82
168,160,31.8,45.92,11.2,540,380,s ext,81.83,1.51
169,161,32,49.15,11.55,464,300,s ext,81.12,3.25
170,162,32.2,53.95,11.43,496,424,s ext,80.94,4.8
171,163,32.4,62.44,11.05,480,440,s ext,81.48,8.5
172,164,32.6,73.33,10.33,448,400,s ext,83.5,10.91
173,165,32.8,82.81,10.52,416,384,s ext,85.52,9.48
174,166,33,92.37,10.09,432,440,s ext,89.05,9.57
175,167,33.2,101.79,10.09,352,432,s ext,92.87,9.42
176,168,33.4,108.93,10.73,432,440,s ext,95.73,7.17
177,169,33.6,118.46,8.68,420,476,s ext,102.51,9.75
178,170,33.8,131.18,6.35,372,600,s ext,111.86,12.94
179,171,34,138.37,4.55,432,508,s ext,117.81,7.41
180,172,34.2,148.29,2.43,396,604,s ext,126.02,10.15
181,173,34.4,161.29,-1.81,400,516,s ext,138.17,13.67
182,174,34.6,169.48,-4.07,428,484,s ext,145.69,8.5
183,175,34.8,178.26,-8.13,500,424,s ext,154.93,9.67
184,176,35,187.15,-12.32,476,520,s ext,164.4,9.83
185,177,35.2,191.24,-13.3,432,428,s ext,168.16,4.2
186,178,35.4,197.64,-17.02,500,356,s ext,175.47,7.41
187,179,35.6,200.98,-17.77,604,440,s ext,178.53,3.43
188,180,35.8,203.78,-17.98,580,512,s ext,180.82,2.8
189,181,36,205.84,-17.34,484,560,s ext,182.02,2.16
190,182,36.2,206.12,-14.91,624,516,s ext,180.73,2.45
191,183,36.4,206.29,-12.5,608,584,e ext,179.39,2.42
192,184,36.6,208.91,-13.36,552,496,e ext,182,2.76
193,185,36.8,209.04,-10.73,452,580,e ext,180.52,2.63
194,186,37,208.14,-6.58,468,448,e ext,177.35,4.25
195,187,37.2,206.15,0.14,472,404,e ext,171.88,7.01
196,188,37.4,203.44,8.23,496,448,e ext,165.18,8.53
197,189,37.6,201.1,16.73,508,452,e ext,158.76,8.81
198,190,37.8,198.24,27.82,448,556,e ext,150.9,11.45
199,191,38,196.02,39.39,424,560,e ext,143.91,11.79
200,192,38.2,194.23,49.58,412,372,e ext,138.43,10.34
201,193,38.4,192.95,60.01,420,560,e ext,133.76,10.51
202,194,38.6,191.32,75.06,412,552,e ext,128.45,15.14
203,195,38.8,189.51,85.79,448,476,e ext,125.01,10.88
204,196,39,188.94,98.66,500,540,e ext,123.59,12.88
205,197,39.2,189.11,113.61,524,512,e ext,124.22,14.95
206,198,39.4,190.6,132.6,548,632,e ext,128.66,19.05
207,199,39.6,192.49,148.62,464,556,e ext,134.88,16.13
208,200,39.8,196.13,166.15,516,524,e ext,144.69,17.91
209,201,40,200.22,182,576,516,e ext,155.52,16.37
210,202,40.2,205.31,197.45,544,552,e ext,167.86,16.27
211,203,40.4,209.58,208.5,552,544,e ext,177.59,11.84
212,204,40.6,214.65,218.34,508,556,e ext,187.45,11.07
213,205,40.8,220.07,226.85,548,544,e ext,196.86,10.09
214,206,41,222.8,230.48,588,640,e ext,201.23,4.55
215,207,41.2,223.65,231.32,552,484,n ext,202.42,1.2
216,208,41.4,221.56,228.94,588,580,n ext,199.31,3.17
217,209,41.6,220.3,227.88,584,636,n ext,197.66,1.65
218,210,41.8,217.79,226.1,536,528,n ext,194.59,3.08
219,211,42,212.61,222.79,528,616,n ext,188.46,6.15
220,212,42.2,202.65,216.43,512,656,n ext,176.69,11.81
221,213,42.4,191.97,210.91,476,588,n ext,164.87,12.03
222,214,42.6,184.59,208.56,468,528,n ext,157.66,7.74
223,215,42.8,173.39,203.88,516,608,n ext,146.07,12.14
224,216,43,156.06,198.43,472,668,n ext,129.57,18.17
225,217,43.2,141.87,194.37,488,512,n ext,116.71,14.76
226,218,43.4,123.61,190.66,500,612,n ext,102.11,18.64
227,219,43.6,107.59,188.23,604,592,n ext,90.98,16.2
228,220,43.8,88.02,187.31,572,616,n ext,81.52,19.59
229,221,44,69.52,187.69,628,592,n ext,77.31,18.51
230,222,44.2,53.4,188.12,608,628,n ext,77,16.12
231,223,44.4,40.41,189.63,628,548,n ext,80.05,13.07
232,224,44.6,28.59,190.4,672,652,n ext,83.93,11.84
233,225,44.8,20.34,191.34,592,688,n ext,87.77,8.3
234,226,45,16.49,191.28,748,564,north,89.29,3.85
235,227,45.2,10.89,193.01,732,720,north,93.35,5.87
236,228,45.4,7.47,193.28,696,692,north,95.24,3.43
237,229,45.6,1.13,196.99,672,696,n ext,101.66,7.34
238,230,45.8,-1.58,198.12,720,568,w ext,104.06,2.94
239,231,46,-6.52,201.64,588,548,w ext,109.72,6.07
240,232,46.2,-10.55,204.85,572,424,w ext,114.64,5.15
241,233,46.4,-11,204.17,432,508,w ext,114.34,0.81
242,234,46.6,-7.72,198.67,512,384,w ext,107.96,6.4
243,235,46.8,-4.41,191.97,532,500,w ext,100.57,7.48
244,236,47,0.68,182.3,624,420,w ext,89.77,10.93
245,237,47.2,5.16,172.43,640,488,w ext,79.23,10.83
246,238,47.4,12.38,155.02,740,588,w ext,61.35,18.85
247,239,47.6,19.58,138.73,688,556,w ext,44.98,17.81
248,240,47.8,25.51,121.69,728,656,west,30.59,18.04
249,241,48,29.47,105.66,796,676,west,22.44,16.52
250,242,48.2,33.19,91.25,748,672,west,20.15,14.88
251,243,48.4,34.14,75.05,796,752,west,27.54,16.23
252,244,48.6,34.4,63.49,720,668,west,36.19,11.57
253,245,48.8,32.06,51.06,728,720,west,48.04,12.65
254,246,49,28.86,40.72,644,604,west,58.63,10.82
255,247,49.2,25.34,32.2,636,616,west,67.81,9.21
256,248,49.4,18.83,21.93,608,564,west,79.93,12.16
257,249,49.6,12.71,13.88,620,508,west,89.94,10.11
258,250,49.8,5.63,5.49,628,496,s ext,100.72,10.98
259,251,50,0.37,-0.6,472,332,s ext,108.62,8.04
260,252,50.2,1.76,0.8,476,356,s ext,106.72,1.97
261,253,50.4,0.57,-1.04,428,488,s ext,108.91,2.19
262,254,50.6,-1.6,-3.91,460,384,s ext,112.48,3.6
263,255,50.8,-2.69,-6.01,424,508,s ext,114.84,2.37
264,256,51,-0.98,-5.07,540,388,s ext,113.17,1.96
265,257,51.2,1.57,-3.87,532,504,s ext,110.86,2.82
266,258,51.4,5.23,-2.53,512,476,s ext,107.92,3.9
267,259,51.6,11.24,-0.29,452,540,s ext,103.16,6.42
268,260,51.8,18.76,2.39,512,492,s ext,97.6,7.98
269,261,52,26.92,4.41,492,460,s ext,92.82,8.4
270,262,52.2,36.28,6.65,508,544,s ext,88.07,9.63
271,263,52.4,44.67,8.38,392,540,s ext,84.8,8.56
272,264,52.6,56.79,9.64,356,580,s ext,82.69,12.19
273,265,52.8,66.18,11.88,452,576,s ext,80.99,9.65
274,266,53,77.17,11.86,476,576,s ext,82.78,10.99
275,267,53.2,90.47,10.02,364,560,s ext,88.45,13.42
276,268,53.4,98.04,10.16,448,436,s ext,91.19,7.56
277,269,53.6,107.68,8.76,380,500,s ext,96.81,9.74
278,270,53.8,112.94,9.35,308,384,s ext,99,5.29
279,271,54,119.73,5.39,136,196,s ext,105.95,7.86
280,272,54.2,121.17,6.22,152,80,s ext,106.06,1.66
281,273,54.4,117.42,6.75,148,76,s ext,103.56,3.78
282,274,54.6,117.02,7.84,216,108,s ext,102.43,1.16
283,275,54.8,118.05,9.75,420,276,s ext,101.38,2.17
284,276,55,114.41,10.21,464,180,s ext,99.03,3.66
285,277,55.2,111.09,9.53,444,244,s ext,97.88,3.39
286,278,55.4,105.52,9.93,396,320,s ext,94.74,5.58
287,279,55.6,98.04,10.16,348,328,s ext,91.19,7.49
288,280,55.8,90.37,11.03,344,308,s ext,87.46,7.72
289,281,56,82.76,13.48,328,480,s ext,82.67,7.99
290,282,56.2,80.94,15.23,496,376,s ext,80.48,2.52
291,283,56.4,72.22,16.74,556,420,s ext,77,8.86
292,284,56.6,62.47,18.09,572,456,s ext,74.46,9.84
293,285,56.8,53.47,18.57,580,472,s ext,73.83,9.02
294,286,57,43.52,17.55,584,524,south,75.93,10
295,287,57.2,36.93,16.36,568,408,south,78.5,6.69
296,288,57.4,29.12,13.78,540,388,south,83.24,8.23
297,289,57.6,21.69,10.59,552,500,s ext,88.91,8.08
298,290,57.8,14.54,6.04,480,336,s ext,96.03,8.48
299,291,58,9,2.27,500,236,s ext,101.91,6.7
300,292,58.2,8.3,2.04,456,220,s ext,102.44,0.74
301,293,58.4,5.1,-0.49,384,248,s ext,106.19,4.08
302,294,58.6,-7.36,-11.14,192,296,s ext,121.62,16.39
303,295,58.8,1.24,-3.4,348,268,s ext,110.62,11.57
304,296,59,-6.92,-10,160,436,s ext,120.42,10.49
305,297,59.2,-4.73,-7.3,148,276,s ext,116.98,3.47
306,298,59.4,3.33,1.1,356,424,s ext,105.67,11.65
307,299,59.6,7.16,5.52,464,356,s ext,99.94,5.84
308,300,59.8,11.29,10.87,540,436,south,93.26,6.76
309,301,60,18.84,20.86,572,616,west,80.87,12.53
310,302,60.2,25.47,30.89,632,484,west,68.92,12.02
311,303,60.4,30.13,40.05,628,588,west,58.64,10.28
312,304,60.6,35.77,52.69,672,676,west,44.82,13.84
313,305,60.8,38.95,64.95,728,632,west,32.57,12.66
314,306,61,41.2,77.11,756,668,west,21.18,12.36
315,307,61.2,41.18,90.54,752,724,west,12.95,13.44
316,308,61.4,40.25,103.64,772,588,west,11.62,13.13
317,309,61.6,39.21,117.22,688,612,west,16.44,13.62
318,310,61.8,36.03,132.03,780,676,west,28.42,15.14
319,311,62,33.09,143.66,732,672,west,39.51,12
320,312,62.2,28.99,154.9,756,608,west,51.24,11.97
321,313,62.4,25.64,164.62,732,624,west,61.36,10.28
322,314,62.6,21.59,173.57,752,636,west,71.16,9.82
323,315,62.8,18.14,180.53,660,684,north,78.93,7.77
324,316,63,14.56,186.52,716,568,north,85.9,6.98
325,317,63.2,9.65,193.14,708,480,north,94.05,8.24
326,318,63.4,5.83,198.3,696,444,n ext,100.41,6.42
327,319,63.6,0.62,204.7,600,456,n ext,108.55,8.25
328,320,63.8,-0.37,207.27,464,472,n ext,111.27,2.76
329,321,64,5.68,203.23,444,444,n ext,104.82,7.27
330,322,64.2,12.04,199.77,488,436,n ext,98.87,7.24
331,323,64.4,24.42,193.03,544,528,n ext,87.84,14.1
332,324,64.6,36.34,186.98,564,492,n ext,78.39,13.37
333,325,64.8,48.95,180.94,584,484,north,70.15,13.98
334,326,65,62.03,176.59,704,520,north,65.48,13.78
335,327,65.2,77.07,172.49,716,588,north,64.04,15.59
336,328,65.4,90.2,170.1,748,584,north,66.62,13.34
337,329,65.6,104.68,168.43,780,632,north,72.98,14.58
338,330,65.8,118.52,168.45,744,596,north,81.83,13.84
339,331,66,131.78,170.07,740,644,north,92.48,13.35
340,332,66.2,143.31,173.29,776,556,north,103.37,11.97
341,333,66.4,155.69,177.71,764,628,north,115.88,13.15
342,334,66.6,166.13,182.52,648,532,north,127.15,11.49
343,335,66.8,176.86,189.21,708,532,north,139.76,12.65
344,336,67,185.96,195.68,588,544,n ext,150.92,11.16
345,337,67.2,195.82,203.92,616,468,n ext,163.75,12.85
346,338,67.4,202.05,209.63,536,272,n ext,172.14,8.45
347,339,67.6,204.62,212.18,328,336,n ext,175.71,3.62
348,340,67.8,212.66,219.75,464,400,n ext,186.68,11.05
349,341,68,215.7,222.75,400,328,n ext,190.9,4.27
350,342,68.2,215.46,222.38,552,344,n ext,190.5,0.43
351,343,68.4,212.97,219.37,596,348,e ext,186.7,3.91
352,344,68.6,206.02,210.59,628,448,e ext,175.92,11.19
353,345,68.8,199.65,201.47,668,488,e ext,165.43,11.13
354,346,69,191.58,189.36,668,480,e ext,151.94,14.55
355,347,69.2,182.82,174.87,712,532,east,136.86,16.94
356,348,69.4,175.53,160.74,776,576,east,123.76,15.89
357,349,69.6,167.88,145.46,740,652,east,110.63,17.09
358,350,69.8,160.86,129.34,752,660,east,99,17.58
359,351,70,155.78,114.55,860,748,east,91.2,15.64
360,352,70.2,152.31,102.19,832,724,reveral larger,86.91,12.84
361,353,70.4,148.9,89.64,784,800,reveral larger,84.23,13
362,354,70.6,147.54,80.66,840,688,east,84.47,9.08
363,355,70.8,145.8,71.75,856,800,east,85.31,9.09
364,356,71,144.12,64.95,864,744,east,86.16,7
365,357,71.2,140.51,60.65,832,824,south,84.58,5.62
366,358,71.4,137.37,56.6,796,732,south,83.65,5.12
367,359,71.6,132.82,53.21,832,796,south,81.45,5.68
368,360,71.8,126.93,50.7,812,700,south,77.98,6.4
369,361,72,121.04,47.61,796,704,south,75.25,6.65
370,362,72.2,114.04,44.07,732,640,south,72.31,7.85
371,363,72.4,106.59,41.48,720,516,south,69.09,7.88
372,364,72.6,99.44,39.12,720,560,south,66.63,7.53
373,365,72.8,91.74,34.5,716,540,south,66.58,8.98
374,366,73,84.54,30.29,628,528,south,67.39,8.35
375,367,73.2,78.16,25.84,616,452,south,69.51,7.77
376,368,73.4,67.81,20.27,520,496,south,72.83,11.76
377,369,73.6,62.72,19,492,356,s ext,73.58,5.25
378,370,73.8,54.13,16.43,520,380,s ext,75.94,8.96
379,371,74,47.58,14.9,468,268,s ext,77.96,6.73
380,372,74.2,43.3,14.66,420,216,s ext,78.81,4.29
381,373,74.4,36.9,14.46,464,316,s ext,80.34,6.4
382,374,74.6,34.29,15.57,616,312,south,79.96,2.84
383,375,74.8,28.65,15.55,552,496,south,81.74,5.63
384,376,75,27.57,17.21,628,388,south,80.57,1.98
385,377,75.2,25.43,18.63,612,504,south,80.05,2.57
386,378,75.4,26.52,22.13,592,460,south,76.41,3.66
387,379,75.6,27.97,26.68,656,616,south,71.65,4.78
388,380,75.8,30.67,32.6,700,556,south,65.15,6.5
389,381,76,33.72,40,716,616,west,57.14,8.01
390,382,76.2,36.7,49.16,724,768,west,47.57,9.63
391,383,76.4,38.81,57.66,796,616,west,39.01,8.76
392,384,76.6,40.61,69.16,772,688,west,28.09,11.64
393,385,76.8,40.89,81.62,764,688,west,18.12,12.46
394,386,77,40.15,96.78,756,736,west,12.16,15.18
395,387,77.2,38.41,110.27,796,680,west,14.55,13.6
396,388,77.4,34.11,127.12,768,732,west,26.39,17.4
397,389,77.6,28.6,141.8,692,628,west,40.68,15.68
398,390,77.8,22.94,155.1,740,632,west,54.68,14.46
399,391,78,17.79,164.47,652,584,west,65.31,10.68
400,392,78.2,12.06,173.11,672,380,west,75.68,10.37
401,393,78.4,2.5,186.33,652,468,w ext,91.98,16.31
402,394,78.6,-8.29,200.5,500,456,w ext,109.78,17.81
403,395,78.8,-9.93,203.2,420,392,w ext,112.93,3.16
404,396,79,-9.77,204.63,448,508,w ext,114.02,1.44
405,397,79.2,-7.07,203.06,516,372,w ext,111.2,3.13
406,398,79.4,-2.91,199.72,492,416,w ext,106.13,5.33
407,399,79.6,1.13,196.99,612,432,n ext,101.66,4.88
408,400,79.8,5.36,194.21,608,492,north,97.09,5.06
409,401,80,12.15,189.63,576,528,north,89.77,8.19
410,402,80.2,18.09,186.15,692,596,north,83.97,6.89
411,403,80.4,24.54,183.28,792,548,north,78.72,7.06
412,404,80.6,33.24,180.43,684,684,north,72.99,9.16
413,405,80.8,42.11,177.41,628,568,north,67.74,9.37
414,406,81,50.79,176.07,672,524,north,65.14,8.78
415,407,81.2,59.52,174.92,736,608,north,63.7,8.81
416,408,81.4,65.75,175.03,704,584,north,64.26,6.24
417,409,81.6,70.71,178.18,672,560,north,68.14,5.87
418,410,81.8,71.81,181.36,720,368,n ext,71.47,3.36
419,411,82,71.86,183.91,624,304,n ext,73.98,2.55
420,412,82.2,71.96,186.51,560,216,n ext,76.56,2.6
421,413,82.4,73.82,186.31,480,200,n ext,76.72,1.87
422,414,82.6,74.37,185.37,372,188,n ext,75.92,1.09
423,415,82.8,75.97,182.6,340,384,n ext,73.58,3.2
424,416,83,80.01,181.4,356,400,n ext,73.41,4.21
425,417,83.2,85.24,177.68,408,380,n ext,71.54,6.41
426,418,83.4,89.73,175.05,560,296,north,70.86,5.2
427,419,83.6,94.54,170.96,616,352,north,69.45,6.31
428,420,83.8,96.16,166.2,724,556,north,66.25,5.03
429,421,84,94.89,161.5,692,480,north,61.64,4.87
430,422,84.2,92.3,157.68,736,524,north,57.04,4.61
431,423,84.4,88.01,153.38,824,568,north,51.06,6.08
432,424,84.6,83.33,149.47,836,628,north,45.26,6.09
433,425,84.8,78.02,146.78,908,632,north,40.31,5.96
434,426,85,74.3,142.86,944,708,north,35.17,5.4
435,427,85.2,71.26,139.01,916,748,north,30.43,4.9
436,428,85.4,69.47,134.85,928,700,north,25.9,4.53
437,429,85.6,69.37,128.67,892,732,west,20.26,6.18
438,430,85.8,68.01,123.07,896,692,west,14.76,5.76
439,431,86,66.67,116.09,884,788,west,8.31,7.11
440,432,86.2,64.73,108.35,840,748,platform larger,1.52,7.98
441,433,86.4,64.71,104.79,824,552,platform larger,0,3.56
442,434,86.6,62.31,102.57,756,516,platform,0,3.27
443,435,86.8,60.5,100.3,872,324,platform,0,2.9
444,436,87,59.72,101.09,796,356,platform,0,1.11
445,437,87.2,59.72,101.09,772,144,platform,0,0
446,438,87.4,60.4,101.24,708,176,platform,0,0.69
447,439,87.6,60.4,101.24,784,180,platform,0,0
448,440,87.8,59.72,101.09,832,200,platform,0,0.69
449,441,88,58.25,101.76,812,180,platform,0,1.62
450,442,88.2,57.56,101.61,876,216,platform,0,0.7
451,443,88.4,56.18,101.3,892,176,platform,0,1.41
