,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24
10,11.0,10.0,60480.0,60480.0,4848.0,0.0,1876.0,2022.0,282.0,1735.0,1875.0,1740.0,0.08015873015873018,0.0003250661375661376,,873986.0,4391681.0,11866.0,3513044.0,1331774.0,873894.0,959147.0,3499164.0,14221867.0,874817.0
11,12.0,9.0,63000.0,63000.0,11267.0,0.0,1800.0,4702.0,2965.0,1721.0,1800.0,1737.0,0.17884126984126986,0.00031206349206349207,,2030228.0,6553821.0,79260.0,4399618.0,3520021.0,2030173.0,2220239.0,4015698.0,14048558.0,2033143.0
12,13.0,8.0,65625.0,65625.0,2841.0,0.0,1728.0,1190.0,-338.0,1521.0,1728.0,1528.0,0.04329142857142857,0.0002995809523809524,,512503.0,7131786.0,27166.0,6997075.0,1155217.0,512409.0,605877.0,5492466.0,15810067.0,512859.0
13,14.0,7.0,67500.0,67500.0,8857.0,0.0,1680.0,4355.0,2753.0,1566.0,1680.0,1602.0,0.1312148148148148,0.00029125925925925934,,1596073.0,9682835.0,392090.0,8510218.0,3942033.0,1595979.0,1777844.0,4435041.0,14228703.0,1600076.0
14,15.0,6.0,70000.0,70000.0,3187.0,53.0,1620.0,1515.0,182.0,1319.0,1620.0,1333.0,0.04552857142857143,0.00028085714285714286,,574815.0,10807191.0,4666.0,10552980.0,2086761.0,574795.0,664443.0,5734619.0,16051912.0,575956.0
15,16.0,5.0,72000.0,72000.0,872.0,109.0,1575.0,346.0,-828.0,1168.0,1575.0,1174.0,0.012111111111111109,0.00027305555555555563,,157740.0,11002942.0,4666.0,20810293.0,607988.0,157724.0,240732.0,5842268.0,16631104.0,157959.0
16,17.0,4.0,75600.0,75600.0,474.0,75.0,1500.0,202.0,-976.0,1174.0,1500.0,1178.0,0.00626984126984127,0.00026005291005291013,,86102.0,11103426.0,40690.0,21131988.0,330993.0,86086.0,165899.0,7170969.0,17198017.0,86123.0
17,18.0,3.0,84000.0,84000.0,3373.0,332.0,1350.0,1748.0,746.0,989.0,1350.0,1002.0,0.0401547619047619,0.0002340476190476191,,608288.0,21879302.0,4668.0,27404273.0,4820662.0,608268.0,763190.0,7609554.0,18682728.0,609788.0
18,19.0,2.0,90720.0,90720.0,2903.0,1122.0,1250.0,1766.0,721.0,1034.0,1250.0,1045.0,0.03199955908289242,0.00021671075837742504,,523579.0,52767867.0,478052.0,85572430.0,12848469.0,523563.0,680314.0,9995863.0,19777276.0,524847.0
19,20.0,1.0,94500.0,94500.0,775.0,589.0,589.0,165.0,-547.0,708.0,1200.0,712.0,0.0082010582010582,0.00020804232804232805,,140281.0,679032931.0,510243092.0,10747506285.0,33518564.0,140265.0,218849.0,9750930.0,19920000.0,140433.0
20,,,113437641.0,,,,,23155.0,,,,42438.0,0.987148500881834,0.008388786772486773,0.9955372876543208,,,,,,,,,,
21,,,,,,,,-0.8327790973871734,,,,,,,,,,,,,,,,,
