,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26
38,7.0,7.0,8.0,7.0,-1.0,7.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A,B,0.005765499076692435,0.00041002076146583535,4.557947606355152e-05,0.00011637948685109666,0.0773967299365173,0.07195518281635274,0.08085185434770814,0.4413339561873957,0.11417694189604127,0.09433381836287358,0.11361403765203837
39,10.0,10.0,10.0,10.0,-1.0,10.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B+,A,0.00015034142024521752,3.660171794206001e-05,1.855228370738972e-05,5.535270135299897e-06,0.0009972390273581696,0.005095208533932385,0.00025062863911516907,0.036952922427329234,0.02497645901149413,0.101430399501526,0.8300861121672148
40,9.0,5.0,7.0,7.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B+,B,0.01515952694298986,0.028462277547007607,0.0029115399984962253,0.0004917832996397619,0.11417856422507475,0.2407437353173691,0.06705532255538027,0.3251218575464813,0.052373644395453584,0.07544123109481825,0.07806051707728927
41,9.0,9.0,10.0,10.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A-,A,0.0009892438628819162,2.555164134676965e-05,1.8446347752884685e-05,0.00010107394371372636,0.02760162758728782,0.06507238914408459,0.0020872645800103784,0.19375556740823824,0.041245989912600985,0.26679578810185123,0.4023070574702315
42,10.0,8.0,10.0,7.0,-1.0,6.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A,A,0.0029977661989423424,0.00040454755224789954,0.00021511458566915258,7.279214836077484e-05,0.0368174334148514,0.04620983508840505,0.0404551274318747,0.20619651070410905,0.04496772703816782,0.21937840844341805,0.4022847373939537
43,10.0,10.0,10.0,10.0,-1.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A,A,0.0001503163991593196,3.659562637576281e-05,1.854919608001805e-05,5.534348909005124e-06,0.001163501484196312,0.005094360546397164,0.0002505869273853113,0.036946772410622435,0.02497230221873981,0.10141351859981282,0.8299479622423219
44,10.0,4.0,4.0,10.0,10.0,4.0,0.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,B,B+,0.11826847854439868,0.030353929771369945,0.0003457244976045005,0.038460480488977065,0.01297297556587638,0.0662077278730074,0.003075847309098001,0.1801935012424428,0.3151201261199331,0.17961061963907302,0.05539058894821919
45,10.0,1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,D,C-,0.007629508292725479,0.002442954579900091,0.0014965543653204794,0.2537598937226732,0.035817588667261785,0.07152279081769884,0.16236416640751114,0.1568717159322585,0.05597671824586352,0.1937898212740808,0.058328287694706125
46,10.0,6.0,10.0,7.0,-1.0,9.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B,A,0.0002697771094344524,0.0002472941082198078,0.00016892189234168564,5.293634071436538e-05,0.009579344057191696,0.015598724072873238,0.0037022905039447687,0.33265205758205185,0.019537291834271883,0.14004922599499434,0.47814213650396203
47,7.0,10.0,10.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A,A,0.000322819836692017,1.9462045329392632e-05,2.372618867664398e-05,0.00010899713218116636,0.09376106554184707,0.06184544438645476,0.052660367012956975,0.2539330592568273,0.011823773978034729,0.13875846084148213,0.3867428237795178
48,10.0,8.0,7.0,10.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B,B+,0.0014672804228654775,4.7177320004852e-05,1.6568207972079284e-05,0.0009909281516493275,0.005510779427960318,0.10394856540971116,0.002658485929920291,0.04251391724609465,0.4203838844379041,0.3430948461491244,0.07936756729679341
49,10.0,6.0,9.0,7.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B+,B,0.0005447882357767093,0.0001103853094485834,0.00015839703430848691,0.0016573735880049748,0.039150125802670285,0.09310514371623267,0.07632582703260347,0.3723071490306807,0.08869522175433,0.2431570627449341,0.08478852575101008
50,10.0,6.0,7.0,7.0,-1.0,6.0,5.0,1.0,4.0,1.0,-1.0,-1.0,-1.0,7.0,C+,B,0.019373752624019643,0.0025460431634868235,0.0075976897960619,0.0022324827606319867,0.03675900850388529,0.050190761536533283,0.0715891026154605,0.3185752453812596,0.21353215823472765,0.11353080924479605,0.16407294613913725
51,10.0,10.0,7.0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B,A,8.770180219238143e-05,2.9259932929946507e-05,2.1539746292285824e-05,0.0005132993508791241,0.003175731351977381,0.016892953348356676,0.026737702453201763,0.03775132656370107,0.1164549357043976,0.2524538758573836,0.5458816738886881
52,10.0,7.0,7.0,10.0,-1.0,5.0,10.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B,B+,0.06643548481863708,0.0008869237002790683,0.00024514996028178823,0.00042609275296916547,0.003351492937507076,0.04366065341049327,0.005898013314659168,0.11365072698238815,0.5225379403050024,0.13492474928949913,0.10798277252828373
53,8.0,4.0,7.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B+,B,0.0021031171650319077,0.0005141616233680315,0.00013346087586978806,0.006890625759740421,0.07033855768674879,0.10809823155857573,0.1969600810119982,0.4634513003438402,0.03924197856091824,0.07733568056419933,0.03493280484970945
54,10.0,4.0,4.0,10.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A-,B+,0.010191249630502677,0.002725153077108976,0.0005008602178332264,0.008995136108111106,0.021481695035654613,0.2143439156131408,0.0029190218826854078,0.15494270346732378,0.2780033917074233,0.2477899228347685,0.05810695042544777
55,10.0,-1.0,4.0,7.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,C,D,0.047469975777542,0.2821681318003135,0.014525390304252088,0.009684869142270078,0.08557181788420329,0.10058668509311436,0.06274745696207104,0.10043983657013424,0.09396061919761824,0.11773395679889136,0.0851112604695898
56,10.0,5.0,10.0,-1.0,-1.0,10.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,A,A,0.0005289038882218229,0.0011935958240493509,0.0025331147507277572,3.713908615486253e-05,0.012565947362468424,0.00767894366904175,0.007857776933286122,0.3301656108484647,0.015352694751948746,0.07430225565256998,0.5477840172330666
57,10.0,7.0,10.0,7.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A-,B,0.0002714485613887643,2.4802162268650954e-05,3.001977250469464e-05,0.0004557057155180186,0.024160937837887968,0.032454318249486726,0.0244275029631918,0.4998324095769511,0.02038380936456397,0.2629537919615019,0.13500525383473644
58,10.0,1.0,4.0,7.0,-1.0,4.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A-,B,0.06099016062724276,0.111011491889392,0.0016292903059846433,0.17018254040377126,0.118956850077607,0.014801338901766969,0.13320476744032986,0.18710375957452727,0.12298477758807465,0.026311047020406163,0.052823976170897236
59,5.0,7.0,7.0,7.0,10.0,0.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,C+,C,0.0635049538805159,0.0006642196507946293,0.0014566196399016245,0.0002386283800355456,0.23606995412361065,0.03395021176855278,0.08742540918676152,0.18285463562750096,0.14249448844301127,0.10544072622602936,0.14590015307328574
60,9.0,10.0,9.0,7.0,-1.0,3.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,C,A,0.0015197884522219515,7.196553819887015e-05,0.00294527745542166,4.5600956756955105e-05,0.014541055150433147,0.024411975562412203,0.0420653521684284,0.06306118798396954,0.2871690672840151,0.06717576663424167,0.4969929628139006
61,10.0,6.0,10.0,10.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B,A-,7.138494550508394e-05,0.0002579726523854164,7.870765566007875e-06,2.560200802682312e-05,0.0002763467932223083,0.07929169049342234,0.001782344786974411,0.2755664198593949,0.0631035510083249,0.30029136593033723,0.27932545075684045
62,10.0,6.0,9.0,-1.0,-1.0,7.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B,A,0.0008058344361030534,0.0012659227565083252,3.878591169519973e-05,0.00010382634978213768,0.02263754292668315,0.008342039239605952,0.034200508907710155,0.1944311725706449,0.10681824081877822,0.19569320674584625,0.4356629193366427
63,10.0,7.0,7.0,10.0,-1.0,7.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B+,B,0.008164440989771619,0.0018341816604843886,7.094978562025601e-05,0.0002870754486616292,0.0456505410480686,0.02374300890407003,0.0091593738932202,0.26675696490971257,0.24465351101360694,0.2085185284196529,0.1911614239271308
64,10.0,10.0,10.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A,A,5.421984190251901e-05,0.00018142635722305668,5.736976087896315e-06,3.841222656239408e-05,0.0002091055432819065,0.016071970807155347,0.004772660800992438,0.12483012756314155,0.038369525588906266,0.21420253043119847,0.6012642838635482
65,10.0,8.0,10.0,10.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A,A-,5.065984888294329e-05,7.179260323571692e-05,7.3360160180092284e-06,2.2305291419794208e-05,0.00031767620456727623,0.049027087102441684,0.0016518924238147028,0.2646783993994846,0.06855267705905263,0.33248346372561083,0.2831367103254719
66,10.0,10.0,10.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A-,A,4.315968927737937e-05,0.0001444177063177709,4.564698315490885e-06,3.057662480583892e-05,0.00016645069328033948,0.011514966792709443,0.00336478981878048,0.09936638191913498,0.030542634283496774,0.1705079603968639,0.6843140973770175
67,10.0,9.0,7.0,10.0,-1.0,4.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,B+,B+,0.013815561882674344,0.00029597416363543204,0.00013509731131538768,0.0006017417675398077,0.013420258628697952,0.16386640470102565,0.0065516493859681295,0.13526473066934855,0.3690162980600725,0.15763759626654872,0.13939468716317355
68,4.0,6.0,4.0,7.0,-1.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B,C+,0.04135857088180122,0.0036674526295359076,0.0008906451354337853,0.0017077095178358414,0.19737022374309066,0.3621528522114991,0.03922428279467402,0.15587124295206528,0.08493175787594533,0.036027335696570496,0.07679792656154831
69,7.0,4.0,9.0,4.0,-1.0,4.0,7.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B-,A,0.026072689511788656,0.0008256526949290615,0.0009657561848562057,0.0001620507456628905,0.027842650725026345,0.02143016038915809,0.11079716253653822,0.2824160504871321,0.14145685869951902,0.1046169874168873,0.28341398060850204
70,-1.0,4.0,10.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,C,A-,0.0006375889366215713,0.0005361263970526906,1.254973467026672e-05,7.375755454867614e-05,0.0009803339720006908,0.12374606348422637,0.016532620630864768,0.2845150559318476,0.05028936880017919,0.3091249519810935,0.21355158257689466
71,10.0,9.0,10.0,10.0,-1.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A,A,9.673600161979467e-05,4.937825893992632e-05,4.8391108428154704e-05,9.30112869447462e-06,0.000937712330931201,0.0035758763520096657,0.0006458499982055963,0.06371606764629988,0.13394978836840166,0.12423453459672056,0.6727363642097491
72,10.0,7.0,7.0,7.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B+,A-,0.0005886627937064129,0.008316565976216623,3.301237323379889e-05,0.0010488255526430604,0.0013558373955057414,0.12465282480843355,0.0986193333875682,0.2662507296619976,0.1303390702136983,0.3059483155552707,0.06284682228172603
73,10.0,1.0,4.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A-,C-,0.0106982928633339,0.12841618073834826,0.0013151333655408535,0.2139852565568838,0.00463439173694543,0.08951935302083322,0.14669910619542195,0.14600200472826114,0.0912871315649694,0.10767901327418912,0.05976413595527301
74,10.0,5.0,8.0,8.0,-1.0,9.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B+,A,0.0007016084298094149,0.003382280662004506,0.0004601164213202828,4.664958581383593e-05,0.01728037285752491,0.009692470865466651,0.011099264631234573,0.21522074229559232,0.2800464588419693,0.10335650004137012,0.3587135353678939
75,10.0,7.0,7.0,7.0,-1.0,4.0,4.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,B+,B-,0.04006720570568103,0.004442560948097221,0.0003069650020710815,0.002243467584127612,0.04589936902703797,0.015431990531458616,0.3040689816159361,0.2466000679491813,0.1033325287757616,0.10878844342307842,0.12881841943756905
76,10.0,6.0,7.0,5.0,-1.0,-1.0,7.0,8.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,C+,A-,0.033205776430230365,0.005627914974929304,0.004452035876796146,0.0004727557970698131,0.11855829407169664,0.015524173470900257,0.10002902383119587,0.15988179885253925,0.1604363504394098,0.24735041090713974,0.15446146534809296
77,9.0,10.0,10.0,7.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B,A,0.0001492581232195191,7.229698677036171e-05,9.057052987878011e-06,6.704551082097194e-05,0.00030008173593896363,0.09967041174133788,0.018109839678247527,0.07350828498563719,0.08783418320342136,0.24514649426516305,0.4751330467164554
