,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
92,BU07360000,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
93,BU07360001,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
94,BU07360003,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
95,BU07360004,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
96,BU07360100,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
97,BU07360200,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
98,BU07360203,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
99,BU07360204,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
100,BU07360207,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
101,BU07360208,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
102,BU07360209,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
103,BU07360300,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
104,BU07360308,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
105,BU07360309,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
106,BU07360400,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
107,BU07360405,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
108,BU07360406,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
109,BU07360407,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
110,BU07360409,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
111,BEBU4402101,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
112,RGNH08,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
113,RGGD01,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
114,RGGL05,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
115,RGGL01,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
116,RGGL02,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
117,RGGL03,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
118,RGGL04,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
119,RGGL06,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
