,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
23,78,tissue (group),tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
24,80,tissuetype,tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,1.08695
25,95,tissue (pup),tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
26,96,tissue archive,tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
27,97,tissue typ,tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
28,99,tissue preserve method,tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
29,101,tissue sample,tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0226,0,0.0,0.0,0,0.0,0,0.0
30,102,tissue collection time,tissue,0,0,0,0.0,0.0,1.0308700000000002,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
31,104,tissue storage,tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
32,105,tissue source site,tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,1.045,0.0,0,0.0,0,0.0
33,107,tissue diagnosis,tissue,0,0,0,0.0,0.0,0.0,0,1.01417,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
34,114,tissue age,tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
35,115,tissue region enriched for,tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
36,120,tissue collection,tissue,0,0,0,0.0,0.0,1.0308700000000002,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
37,125,tissue/sector,tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
38,137,tissue/cell preparation,tissue,0,0,0,0.0,1.2525,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
39,143,tissue/development stage,tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.02242,0,0.0,0,0.0
40,317,ageatdiagnosis,no tissue,0,0,0,0.0,0.0,0.0,0,1.01417,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
41,325,age (yr),no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
42,371,age at disease onset,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
43,376,age,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
44,386,embryo age,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
45,390,diagnosis age,no tissue,0,0,0,0.0,0.0,0.0,0,1.01417,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
46,448,source age,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,1.045,0.0,0,0.0,0,0.0
47,456,proband age,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
48,459,fetus age,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
49,586,strain 1785,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
50,660,strain/line,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1.14026,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
51,681,host cell type,no tissue,0,0,0,0.0,1.2525,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,1.08695
52,738,bl treatment level,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
53,840,chloride treatment,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
54,896,treatment_protocol,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
55,1024,cell sex,no tissue,0,0,0,0.0,1.2525,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
56,1078,diseasestatus,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.01946,0,0.0
57,1118,patient disease status,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.01946,0,0.0
58,1158,3q26 genotype rs12638862,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,1.08695
59,1202,transgene genotype,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,1.08695
60,1212,th-mycn mouse genotype,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,1.08695
61,1215,spea2 genotype,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,1.08695
62,1341,elapsed time,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
63,1409,time of hcmv infection,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
64,1428,time trial,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
65,1486,time.to.recurrence (years),no tissue,0,0,0,1.05755,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
66,1491,time clinical recurrence,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
67,1502,time of exercise,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
68,1556,age time point,no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,1.03109,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
69,1588,time (post amputation),no tissue,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1.0313,0.0,0,0.0,0.0,0,0.0,0,0.0
